Mese,Giorno,ID_post,Like
gennaio,4,433028381,219
gennaio,6,433028382,165
febbraio,2,433028383,263
febbraio,10,433028384,252
febbraio,20,433028385,144
febbraio,21,433028386,193
febbraio,25,433028387,106
marzo,3,433028388,228
aprile,4,433028389,182
aprile,12,433028390,165
aprile,14,433028391,116
aprile,27,433028392,111
giugno,8,433028393,174
luglio,1,433028394,214
luglio,28,433028395,133
agosto,17,433028396,223
agosto,23,433028397,122
settembre,3,433028398,256
settembre,4,433028399,246
settembre,5,433028400,158
settembre,10,433028401,194
settembre,16,433028402,106
settembre,19,433028403,184
ottobre,23,433028404,251
novembre,2,433028405,132
novembre,14,433028406,188
novembre,15,433028407,260
novembre,17,433028408,207